アー	aː
チェーンブロック	tɕeːɴbɯɾokːɯ
チェーンプリンタ	tɕeːɴpɯɾiɴta
チェーンメール	tɕeːɴmeːɾɯ
チェーンレター	tɕeːɴɾetaː
チェア	tɕea
チェアパースン	tɕeapaːsɯɴ
チェアパーソン	tɕeapaːsoɴ
チェアマン	tɕeamaɴ
チェイサー	tɕeisaː
チェイン	tɕeiɴ
チェキ	tɕeki
チェコ	tɕeko
チェコスロバキア	tɕekosɯɾobakia
チェシャー・チーズ	tɕeɕaː tɕiːzɯ
チェシャーチーズ	tɕeɕaːtɕiːzɯ
チェス・セット	tɕesɯ setːo
チェス・マッチ	tɕesɯ matɕːi
チェスセット	tɕesɯsetːo
チェスト	tɕesɯto
チェスト・パス	tɕesɯto pasɯ
チェストパス	tɕesɯtopasɯ
チェスボード	tɕesɯboːdo
チェスマッチ	tɕesɯmatɕːi
チェダー	tɕedaː
チェダー・チーズ	tɕedaː tɕiːzɯ
チェダーチーズ	tɕedaːtɕiːzɯ
チェッ	tɕeッ
チェッカ	tɕekːa
チェッカー	tɕekːaː
チェッカー・フラッグ	tɕekːaː ɸɯɾagːɯ
チェッカーズ	tɕekːaːzɯ
チェッカーフラッグ	tɕekːaːɸɯɾagːɯ
チェッカープレイヤー	tɕekːaːpɯɾeijaː
チェッカーボード	tɕekːaːboːdo
チェック	tɕekːɯ
チェック・アンド・バランス	tɕekːɯ aɴdo baɾaɴsɯ
チェック・ギャランティー・カード	tɕekːɯ gjaɾaɴteiː kaːdo
チェック・ビルド	tɕekːɯ biɾɯdo
チェック・プライス	tɕekːɯ pɯɾaisɯ
チェック・プロテクター	tɕekːɯ pɯɾotekɯtaː
チェック・ポイント	tɕekːɯ poiɴto
チェック・マーク	tɕekːɯ maːkɯ
チェックアウト・タイム	tɕekːɯaɯto taimɯ
チェックアウトタイム	tɕekːɯaɯtotaimɯ
チェックアンドバランス	tɕekːɯaɴdobaɾaɴsɯ
チェックイン・カウンター	tɕekːɯiɴ kaɯɴtaː
チェックインカウンター	tɕekːɯiɴkaɯɴtaː
チェックオフ	tɕekːɯoɸɯ
チェックギャランティーカード	tɕekːɯgjaɾaɴteiːkaːdo
チェックサム	tɕekːɯsamɯ
チェックディスク	tɕekːɯdeisɯkɯ
チェックバルブ	tɕekːɯbaɾɯbɯ
チェックビルド	tɕekːɯbiɾɯdo
チェックブック	tɕekːɯbɯkːɯ
チェックプライス	tɕekːɯpɯɾaisɯ
チェックプロテクター	tɕekːɯpɯɾotekɯtaː
チェックボックス	tɕekːɯbokːɯsɯ
チェックマーク	tɕekːɯmaːkɯ
チェックメート	tɕekːɯmeːto
チェックライター	tɕekːɯɾaitaː
チェックリスト	tɕekːɯɾisɯto
チェボル	tɕeboɾɯ
チェラブ	tɕeɾabɯ
チェリー	tɕeɾiː
チェリー・トマト	tɕeɾiː tomato
チェリー・ボーイ	tɕeɾiː boːi
チェリートマト	tɕeɾiːtomato
チェリーピンク	tɕeɾiːpiɴkɯ
チェリーボーイ	tɕeɾiːboːi
チェリオ	tɕeɾio
チェリスト	tɕeɾisɯto
チェレスタ	tɕeɾesɯta
チェロキー	tɕeɾokiː
チェンジ・オブ・ペース	tɕeɴdʑi obɯ peːsɯ
チェンジ・レバー	tɕeɴdʑi ɾebaː
チェンジアップ	tɕeɴdʑiapːɯ
チェンジオーバー	tɕeɴdʑioːbaː
チェンジオブペース	tɕeɴdʑiobɯpeːsɯ
チェンジポケット	tɕeɴdʑipoketːo
チェンジレバー	tɕeɴdʑiɾebaː
チェンバー	tɕeɴbaː
チェンバー・オルガン	tɕeɴbaː oɾɯgaɴ
チェンバー・ミュージック	tɕeɴbaː mjɯːdʑikːɯ
チェンバーオルガン	tɕeɴbaːoɾɯgaɴ
チェンバーミュージック	tɕeɴbaːmjɯːdʑikːɯ
チオテパ	tɕiotepa
チオベン	tɕiobeɴ
チオベンカルブ	tɕiobeɴkaɾɯbɯ
チオベンズアミド	tɕiobeɴzɯamido
チオペンタール	tɕiopeɴtaːɾɯ
チカイエカ	tɕikaieka
チカチカ	tɕikatɕika
チカラシバ	tɕikaɾaɕiba
チガヤ	tɕigaja
チキソトロピー	tɕikisotoɾopiː
チキン・カツ	tɕikiɴ katsɯ
チキン・カツレツ	tɕikiɴ katsɯɾetsɯ
チキン・キエフ	tɕikiɴ kieɸɯ
チキン・スープ	tɕikiɴ sɯːpɯ
チキン・ナゲット	tɕikiɴ nagetːo
チキン・ハート	tɕikiɴ haːto
チキン・フラワー	tɕikiɴ ɸɯɾaɰᵝaː
チキン・ライス	tɕikiɴ ɾaisɯ
チキン・レース	tɕikiɴ ɾeːsɯ
チキンカツ	tɕikiɴkatsɯ
チキンカツレツ	tɕikiɴkatsɯɾetsɯ
チキンキエフ	tɕikiɴkieɸɯ
チキンスープ	tɕikiɴsɯːpɯ
チキンナゲット	tɕikiɴnagetːo
チキンハート	tɕikiɴhaːto
チキンフラワー	tɕikiɴɸɯɾaɰᵝaː
チキンライス	tɕikiɴɾaisɯ
チキンレース	tɕikiɴɾeːsɯ
チクソモールド	tɕikɯsomoːɾɯdo
チクチク	tɕikɯtɕikɯ
チクリ	tɕikɯɾi
チクルス	tɕikɯɾɯsɯ
チクロ	tɕikɯɾo
チグリス・ユーフラテス	tɕigɯɾisɯ jɯːɸɯɾatesɯ
チグリスユーフラテス	tɕigɯɾisɯjɯːɸɯɾatesɯ
チケット・ショップ	tɕiketːo ɕopːɯ
チケットショップ	tɕiketːoɕopːɯ
チコリ	tɕikoɾi
チコリー	tɕikoɾiː
チゴハヤブサ	tɕigohajabɯsa
チゴベニハゼ	tɕigobenihaze
チシマウガラス	tɕiɕimaɯgaɾasɯ
チシマフウロ	tɕiɕimaɸɯɯɾo
チジミ	tɕidʑimi
チスイコウモリ	tɕisɯikoɯmoɾi
チスイビル	tɕisɯibiɾɯ
チスジノリ	tɕisɯdʑinoɾi
チセ	tɕise
チター	tɕitaː
チタニウム	tɕitaniɯmɯ
チダイ	tɕidai
チダケサシ	tɕidakesaɕi
チチカカ・オレスティア	tɕitɕikaka oɾesɯteia
チチカカオレスティア	tɕitɕikakaoɾesɯteia
チチクサ	tɕitɕikɯsa
チチコグサ	tɕitɕikogɯsa
チチタケ	tɕitɕitake
チチブ	tɕitɕibɯ
チチブコウモリ	tɕitɕibɯkoɯmoɾi
チチュウカイミバエ	tɕitɕɯɯkaimibae
チチュウカイモンクアザラシ	tɕitɕɯɯkaimoɴkɯazaɾaɕi
チッ	tɕiッ
チッカー	tɕikːaː
チッキ	tɕikːi
チッキン	tɕikːiɴ
チック	tɕikːɯ
チップ・イン	tɕipːɯ iɴ
チップ・ショット	tɕipːɯ ɕotːo
チップ・セット	tɕipːɯ setːo
チップ・ボード	tɕipːɯ boːdo
チップイン	tɕipːɯiɴ
チップショット	tɕipːɯɕotːo
チップセット	tɕipːɯsetːo
チップチューン	tɕipːɯtɕɯːɴ
チップボード	tɕipːɯboːdo
チデークニ	tɕideːkɯni
チトクロム	tɕitokɯɾomɯ
チドリ	tɕidoɾi
チドリソウ	tɕidoɾisoɯ
チヌ	tɕinɯ
チヌダイ	tɕinɯdai
チノ・パンツ	tɕino paɴtsɯ
チノパンツ	tɕinopaɴtsɯ
チパタマ	tɕipatama
チビ	tɕibi
チビオジムヌラ	tɕibiodʑimɯnɯɾa
チビオマングース	tɕibiomaɴgɯːsɯ
チビオモグラ	tɕibiomogɯɾa
チビトガリネズミ	tɕibitogaɾinezɯmi
チビフクロモモンガ	tɕibiɸɯkɯɾomomoɴga
チブス	tɕibɯsɯ
チベタン・マスチフ	tɕibetaɴ masɯtɕiɸɯ
チベタンマスチフ	tɕibetaɴmasɯtɕiɸɯ
チベット・ガゼル	tɕibetːo gazeɾɯ
チベットカモシカ	tɕibetːokamoɕika
チベットガゼル	tɕibetːogazeɾɯ
チベットスナギツネ	tɕibetːosɯnagitsɯne
チペピジン	tɕipepidʑiɴ
チボリ	tɕiboɾi
チポラータ	tɕipoɾaːta
チマ・チョゴリ	tɕima tɕogoɾi
チマーゼ	tɕimaːze
チマチョゴリ	tɕimatɕogoɾi
チミン	tɕimiɴ
チムニー	tɕimɯniː
チモール	tɕimoːɾɯ
チモシー	tɕimoɕiː
チャージング	tɕaːdʑiɴgɯ
チャーチ	tɕaːtɕi
チャート	tɕaːto
チャート・ファイル	tɕaːto ɸaiɾɯ
チャートファイル	tɕaːtoɸaiɾɯ
チャードル	tɕaːdoɾɯ
チャービル	tɕaːbiɾɯ
チャープ	tɕaːpɯ
チャーミング	tɕaːmiɴgɯ
チャーム	tɕaːmɯ
チャーム・ポイント	tɕaːmɯ poiɴto
チャームポイント	tɕaːmɯpoiɴto
チャールストン	tɕaːɾɯsɯtoɴ
チャールズバベイジ	tɕaːɾɯzɯbabeidʑi
チャイ	tɕai
チャイ・ティー	tɕai teiː
チャイコフスキー	tɕaikoɸɯsɯkiː
チャイティー	tɕaiteiː
チャイドル	tɕaidoɾɯ
チャイナ・シンドローム	tɕaina ɕiɴdoɾoːmɯ
チャイナ・ドレス	tɕaina doɾesɯ
チャイナシンドローム	tɕainaɕiɴdoɾoːmɯ
チャイナタウン	tɕainataɯɴ
チャイナドレス	tɕainadoɾesɯ
チャイニーズ	tɕainiːzɯ
チャイニーズ・カラー	tɕainiːzɯ kaɾaː
チャイニーズカラー	tɕainiːzɯkaɾaː
チャイブ	tɕaibɯ
チャイム	tɕaimɯ
チャイルド	tɕaiɾɯdo
チャイルド・アビューズ	tɕaiɾɯdo abjɯːzɯ
チャイルド・シート	tɕaiɾɯdo ɕiːto
チャイルド・マインダー	tɕaiɾɯdo maiɴdaː
チャイルドアビューズ	tɕaiɾɯdoabjɯːzɯ
チャイルドシート	tɕaiɾɯdoɕiːto
チャイルドマインダー	tɕaiɾɯdomaiɴdaː
チャイロキツネザル	tɕaiɾokitsɯnezaɾɯ
チャイロサナギガイ	tɕaiɾosanagigai
チャイロスズメバチ	tɕaiɾosɯzɯmebatɕi
チャウチャウ	tɕaɯtɕaɯ
チャオ	tɕao
チャカ	tɕaka
チャクマヒヒ	tɕakɯmaçiçi
チャコ・アルマジロ	tɕako aɾɯmadʑiɾo
チャコ・ペッカリー	tɕako pekːaɾiː
チャコール	tɕakoːɾɯ
チャコール・グレー	tɕakoːɾɯ gɯɾeː
チャコール・フィルター	tɕakoːɾɯ ɸiɾɯtaː
チャコールグレー	tɕakoːɾɯgɯɾeː
チャコールフィルター	tɕakoːɾɯɸiɾɯtaː
チャコアルマジロ	tɕakoaɾɯmadʑiɾo
チャコスベオアルマジロ	tɕakosɯbeoaɾɯmadʑiɾo
チャコペッカリー	tɕakopekːaɾiː
チャセンシダ	tɕaseɴɕida
チャタテムシ	tɕatatemɯɕi
チャタリング	tɕataɾiɴgɯ
チャチャチャ	tɕatɕatɕa
チャッカー	tɕakːaː
チャッカマン	tɕakːamaɴ
チャックリーマー	tɕakːɯɾiːmaː
チャッター・マーク	tɕatːaː maːkɯ
チャッターマーク	tɕatːaːmaːkɯ
チャット	tɕatːo
チャット・エリア	tɕatːo eɾia
チャット・ルーム	tɕatːo ɾɯːmɯ
チャットエリア	tɕatːoeɾia
チャットルーム	tɕatːoɾɯːmɯ
チャップ	tɕapːɯ
チャップン	tɕapːɯɴ
チャドル	tɕadoɾɯ
チャネル・アジリティ	tɕaneɾɯ adʑiɾitei
チャネル・ステータス・ワード	tɕaneɾɯ sɯteːtasɯ ɰᵝaːdo
チャネル・デフィニション・フォーマット	tɕaneɾɯ deɸiniɕoɴ ɸoːmatːo
チャネル・プログラム	tɕaneɾɯ pɯɾogɯɾamɯ
チャネルアジリティ	tɕaneɾɯadʑiɾitei
チャネルステータスワード	tɕaneɾɯsɯteːtasɯɰᵝaːdo
チャネルデフィニションフォーマット	tɕaneɾɯdeɸiniɕoɴɸoːmatːo
チャネルプログラム	tɕaneɾɯpɯɾogɯɾamɯ
チャバネゴキブリ	tɕabanegokibɯɾi
チャパティ	tɕapatei
チャパラル	tɕapaɾaɾɯ
チャヒキグサ	tɕaçikigɯsa
チャフ	tɕaɸɯ
チャブ	tɕabɯ
チャプスイ	tɕapɯsɯi
チャプタ	tɕapɯta
チャプター	tɕapɯtaː
チャプチャプ	tɕapɯtɕapɯ
チャプレン	tɕapɯɾeɴ
チャボヒバ	tɕaboçiba
チャラ	tɕaɾa
チャラチャラ	tɕaɾatɕaɾa
チャランケ	tɕaɾaɴke
チャランゴ	tɕaɾaɴgo
チャリカス	tɕaɾikasɯ
チャリダー	tɕaɾidaː
チャリティ	tɕaɾitei
チャリティー	tɕaɾiteiː
チャリティー・ショー	tɕaɾiteiː ɕoː
チャリティーショー	tɕaɾiteiːɕoː
チャリテイ	tɕaɾitei
チャルダッシュ	tɕaɾɯdaɕːɯ
チャレンジャー	tɕaɾeɴdʑaː
チャレンジング	tɕaɾeɴdʑiɴgɯ
チャンキング	tɕaɴkiɴgɯ
チャンギ	tɕaɴgi
チャンク	tɕaɴkɯ
チャンコロ	tɕaɴkoɾo
チャンス・ロス	tɕaɴsɯ ɾosɯ
チャンスロス	tɕaɴsɯɾosɯ
チャンドラ	tɕaɴdoɾa
チャンバラ	tɕaɴbaɾa
チャンピォン	tɕaɴpioɴ
チャンピオン・フラッグ	tɕaɴpioɴ ɸɯɾagːɯ
チャンピオン・ベルト	tɕaɴpioɴ beɾɯto
チャンピオンフラッグ	tɕaɴpioɴɸɯɾagːɯ
チャンピオンベルト	tɕaɴpioɴbeɾɯto
チャンピョン	tɕaɴpjoɴ
チャンピヨン	tɕaɴpijoɴ
チャンポン	tɕaɴpoɴ
チュー	tɕɯː
チューイン・ガム	tɕɯːiɴ gamɯ
チューインガム	tɕɯːiɴgamɯ
チューズデー	tɕɯːzɯdeː
チューター	tɕɯːtaː
チューチュー	tɕɯːtɕɯː
チュートン	tɕɯːtoɴ
チューナ	tɕɯːna
チューニック	tɕɯːnikːɯ
チューニング	tɕɯːniɴgɯ
チューハイ	tɕɯːhai
チュービング	tɕɯːbiɴgɯ
チューブ	tɕɯːbɯ
チューブラー・ベルズ	tɕɯːbɯɾaː beɾɯzɯ
チューブラーベルズ	tɕɯːbɯɾaːbeɾɯzɯ
チューブリン	tɕɯːbɯɾiɴ
チューブレスタイヤ	tɕɯːbɯɾesɯtaija
チューベローズ	tɕɯːbeɾoːzɯ
チューリップ・ツリー	tɕɯːɾipːɯ tsɯɾiː
チューリップツリー	tɕɯːɾipːɯtsɯɾiː
チューリング	tɕɯːɾiɴgɯ
チューリング・テスト	tɕɯːɾiɴgɯ tesɯto
チューリング・マシン	tɕɯːɾiɴgɯ maɕiɴ
チューリングテスト	tɕɯːɾiɴgɯtesɯto
チューリングマシン	tɕɯːɾiɴgɯmaɕiɴ
チューロス	tɕɯːɾosɯ
チューン	tɕɯːɴ
チューンアップ	tɕɯːɴapːɯ
チューンナップ	tɕɯːɴnapːɯ
チュアブル	tɕɯabɯɾɯ
チュウインガム	tɕɯɯiɴgamɯ
チュウシャクシギ	tɕɯɯɕakɯɕigi
チュウハイ	tɕɯɯhai
チュウヒ	tɕɯɯçi
チュウリップ	tɕɯɯɾipːɯ
チュニック・コート	tɕɯnikːɯ koːto
チュニックコート	tɕɯnikːɯkoːto
チュノム	tɕɯnomɯ
チュベローズ	tɕɯbeɾoːzɯ
チュリンガ	tɕɯɾiɴga
チュン	tɕɯɴ
チュンチュン	tɕɯɴtɕɯɴ
チョー	tɕoː
チョー・パン	tɕoː paɴ
チョーキング	tɕoːkiɴgɯ
チョーク・コイル	tɕoːkɯ koiɾɯ
チョーク・ストライプ	tɕoːkɯ sɯtoɾaipɯ
チョークコイル	tɕoːkɯkoiɾɯ
チョークストライプ	tɕoːkɯsɯtoɾaipɯ
チョーパン	tɕoːpaɴ
チョウ	tɕoɯ
チョウゲンボウ	tɕoɯgeɴboɯ
チョウザメ	tɕoɯzame
チョウシュンカ	tɕoɯɕɯɴka
チョウジザクラ	tɕoɯdʑizakɯɾa
チョウジャガイ	tɕoɯdʑagai
チョウセンアザミ	tɕoɯseɴazami
チョウセンイタチ	tɕoɯseɴitatɕi
チョウセンニンジン	tɕoɯseɴniɴdʑiɴ
チョウセンハマグリ	tɕoɯseɴhamagɯɾi
チョウセンブナ	tɕoɯseɴbɯna
チョウセンヤツメ	tɕoɯseɴjatsɯme
チョウセンヤマアカガエル	tɕoɯseɴjamaakagaeɾɯ
チョウセンヨモギ	tɕoɯseɴjomogi
チョウセンレンギョウ	tɕoɯseɴɾeɴgjoɯ
チョウチョウウオ	tɕoɯtɕoɯɯo
チョウチンアンコウ	tɕoɯtɕiɴaɴkoɯ
チョウドウフ	tɕoɯdoɯɸɯ
チョウハン	tɕoɯhaɴ
チョウマメ	tɕoɯmame
チョウモク	tɕoɯmokɯ
チョキチョキ	tɕokitɕoki
チョコ・コロネ	tɕoko koɾone
チョコ・チップ	tɕoko tɕipːɯ
チョコクロ	tɕokokɯɾo
チョココロネ	tɕokokoɾone
チョコチップ	tɕokotɕipːɯ
チョコレート・ケーキ	tɕokoɾeːto keːki
チョコレート・パフェ	tɕokoɾeːto paɸɯe
チョコレート・ファウンテン	tɕokoɾeːto ɸaɯɴteɴ
チョコレート・ブラウニー	tɕokoɾeːto bɯɾaɯniː
チョコレートグラミー	tɕokoɾeːtogɯɾamiː
チョコレートケーキ	tɕokoɾeːtokeːki
チョコレートサージャンフィッシュ	tɕokoɾeːtosaːdʑaɴɸiɕːɯ
チョコレートサージョンフィッシュ	tɕokoɾeːtosaːdʑoɴɸiɕːɯ
チョコレートディップクロミス	tɕokoɾeːtodeipːɯkɯɾomisɯ
チョコレートパフェ	tɕokoɾeːtopaɸɯe
チョコレートファウンテン	tɕokoɾeːtoɸaɯɴteɴ
チョコレートブラウニー	tɕokoɾeːtobɯɾaɯniː
チョソンクル	tɕosoɴkɯɾɯ
チョソングル	tɕosoɴgɯɾɯ
チョック	tɕokːɯ
チョックストーン	tɕokːɯsɯtoːɴ
チョット	tɕotːo
チョッパー	tɕopːaː
チョッパヤ	tɕopːaja
チョッピング・ツール	tɕopːiɴgɯ tsɯːɾɯ
チョッピングツール	tɕopːiɴgɯtsɯːɾɯ
チョボ	tɕobo
チョムカ	tɕomɯka
チョリソ	tɕoɾiso
チョリソー	tɕoɾisoː
チョレイ	tɕoɾei
チョレイマイタケ	tɕoɾeimaitake
チョロチョロ	tɕoɾotɕoɾo
チョンカス	tɕoɴkasɯ
チヨッキ	tɕijokːi
チラコイド	tɕiɾakoido
チラシ	tɕiɾaɕi
チラチラ	tɕiɾatɕiɾa
チラッチラッ	tɕiɾatɕːiɾaッ
チラツキ	tɕiɾatsɯki
チラノサウルス	tɕiɾanosaɯɾɯsɯ
チラノザウルス	tɕiɾanozaɯɾɯsɯ
チラミン	tɕiɾamiɴ
チリ・ソース	tɕiɾi soːsɯ
チリ・パウダー	tɕiɾi paɯdaː
チリ・ペッパー	tɕiɾi pepːaː
チリー・フラミンゴ	tɕiɾiː ɸɯɾamiɴgo
チリーフラミンゴ	tɕiɾiːɸɯɾamiɴgo
チリコンカーン	tɕiɾikoɴkaːɴ
チリコンカルネ	tɕiɾikoɴkaɾɯne
チリソース	tɕiɾisoːsɯ
チリダニ	tɕiɾidani
チリパウダー	tɕiɾipaɯdaː
チリペッパー	tɕiɾipepːaː
チリメンアイゴ	tɕiɾimeɴaigo
チリメンヤッコ	tɕiɾimeɴjakːo
チルー	tɕiɾɯː
チルダ	tɕiɾɯda
チルト	tɕiɾɯto
チルド	tɕiɾɯdo
チルド・キャスチング	tɕiɾɯdo kjasɯtɕiɴgɯ
チルド・ビーフ	tɕiɾɯdo biːɸɯ
チルド・ロール	tɕiɾɯdo ɾoːɾɯ
チルドキャスチング	tɕiɾɯdokjasɯtɕiɴgɯ
チルドビーフ	tɕiɾɯdobiːɸɯ
チルドレン	tɕiɾɯdoɾeɴ
チルドロール	tɕiɾɯdoɾoːɾɯ
チロキシン	tɕiɾokiɕiɴ
チロリアン・ハット	tɕiɾoɾiaɴ hatːo
チロリアンハット	tɕiɾoɾiaɴhatːo
チンアナゴ	tɕiɴanago
チンカス	tɕiɴkasɯ
チンクエデア	tɕiɴkɯedea
チンクエディア	tɕiɴkɯedeia
チンケ	tɕiɴke
チンゲ	tɕiɴge
チンコ	tɕiɴko
チンシバイ	tɕiɴɕibai
チンスコー	tɕiɴsɯkoː
チンチョウゲ	tɕiɴtɕoɯge
チンチン	tɕiɴtɕiɴ
チンプンカンプン	tɕiɴpɯɴkaɴpɯɴ
ヂンチョウゲ	dʑiɴtɕoɯge
ツー	tsɯː
ツー・クール	tsɯː kɯːɾɯ
ツー・サイクル・エンジン	tsɯː saikɯɾɯ eɴdʑiɴ
ツー・ショット	tsɯː ɕotːo
ツー・テール	tsɯː teːɾɯ
ツー・トップ	tsɯː topːɯ
ツー・バイ・フォー	tsɯː bai ɸoː
ツー・ピース	tsɯː piːsɯ
ツー・プラトーン・システム	tsɯː pɯɾatoːɴ ɕisɯtemɯ
ツー・ベース	tsɯː beːsɯ
ツー・ペア	tsɯː pea
ツー・ロック	tsɯː ɾokːɯ
ツーアイドコーラルフィッシュ	tsɯːaidokoːɾaɾɯɸiɕːɯ
ツーウエー	tsɯːɯeː
ツーウエー・スピーカー	tsɯːɯeː sɯpiːkaː
ツーウエースピーカー	tsɯːɯeːsɯpiːkaː
ツーキニスト	tsɯːkinisɯto
ツークール	tsɯːkɯːɾɯ
ツークツワンク	tsɯːkɯtsɯɰᵝaɴkɯ
ツーサイクルエンジン	tsɯːsaikɯɾɯeɴdʑiɴ
ツーショット	tsɯːɕotːo
ツーステップ	tsɯːsɯtepːɯ
ツーテール	tsɯːteːɾɯ
ツートーン	tsɯːtoːɴ
ツートーン・カラー	tsɯːtoːɴ kaɾaː
ツートーンカラー	tsɯːtoːɴkaɾaː
ツートップ	tsɯːtopːɯ
ツートン・カラー	tsɯːtoɴ kaɾaː
ツートンカラー	tsɯːtoɴkaɾaː
ツートンドクロミス	tsɯːtoɴdokɯɾomisɯ
ツーバイフォー	tsɯːbaiɸoː
ツービート	tsɯːbiːto
ツープラトーンシステム	tsɯːpɯɾatoːɴɕisɯtemɯ
ツーベース	tsɯːbeːsɯ
ツーベース・ヒット	tsɯːbeːsɯ çitːo
ツーベースヒット	tsɯːbeːsɯçitːo
ツーペア	tsɯːpea
ツーリスト	tsɯːɾisɯto
ツーリスト・クラス	tsɯːɾisɯto kɯɾasɯ
ツーリスト・ビューロー	tsɯːɾisɯto bjɯːɾoː
ツーリストクラス	tsɯːɾisɯtokɯɾasɯ
ツーリストビューロー	tsɯːɾisɯtobjɯːɾoː
ツーリズム	tsɯːɾizɯmɯ
ツーリング・カー	tsɯːɾiɴgɯ kaː
ツーリングカー	tsɯːɾiɴgɯkaː
ツール・サーバ	tsɯːɾɯ saːba
ツール・セット	tsɯːɾɯ setːo
ツールキット	tsɯːɾɯkitːo
ツールサーバ	tsɯːɾɯsaːba
ツールセット	tsɯːɾɯsetːo
ツールド	tsɯːɾɯdo
ツールドフランス	tsɯːɾɯdoɸɯɾaɴsɯ
ツールバー	tsɯːɾɯbaː
ツールホルダー	tsɯːɾɯhoɾɯdaː
ツールボックス	tsɯːɾɯbokːɯsɯ
ツーロック	tsɯːɾokːɯ
ツァール	tsɯaːɾɯ
ツァラトゥストラ	tsɯaɾatɯsɯtoɾa
ツアー・オブ	tsɯaː obɯ
ツアー・ガイド	tsɯaː gaido
ツアー・コンダクター	tsɯaː koɴdakɯtaː
ツアーオブ	tsɯaːobɯ
ツアーガイド	tsɯaːgaido
ツアーコンダクター	tsɯaːkoɴdakɯtaː
ツアコン	tsɯakoɴ
ツィーター	tsɯiːtaː
ツィクルス	tsɯikɯɾɯsɯ
ツィター	tsɯitaː
ツィンバロム	tsɯiɴbaɾomɯ
ツィンバロン	tsɯiɴbaɾoɴ
ツイーザーズ	tsɯiːzaːzɯ
ツイーター	tsɯiːtaː
ツイート	tsɯiːto
ツイード	tsɯiːdo
ツイスター	tsɯisɯtaː
ツイスト・ドリル	tsɯisɯto doɾiɾɯ
ツイスト・ペア	tsɯisɯto pea
ツイスト・ペア・ケーブル	tsɯisɯto pea keːbɯɾɯ
ツイストドリル	tsɯisɯtodoɾiɾɯ
ツイストペア	tsɯisɯtopea
ツイストペアケーブル	tsɯisɯtopeakeːbɯɾɯ
ツイッタラー	tsɯitːaɾaː
ツイル	tsɯiɾɯ
ツイン	tsɯiɴ
ツイン・カム	tsɯiɴ kamɯ
ツイン・ターボ	tsɯiɴ taːbo
ツイン・テール	tsɯiɴ teːɾɯ
ツイン・テイル	tsɯiɴ teiɾɯ
ツイン・ベッド	tsɯiɴ bedːo
ツイン・ルーム	tsɯiɴ ɾɯːmɯ
ツインカム	tsɯiɴkamɯ
ツインターボ	tsɯiɴtaːbo
ツインテイル	tsɯiɴteiɾɯ
ツインベッド	tsɯiɴbedːo
ツインリーキーバケット	tsɯiɴɾiːkiːbaketːo
ツインルーム	tsɯiɴɾɯːmɯ
ツェルトザック	tsɯeɾɯtozakːɯ
ツェン	tsɯeɴ
ツカツクリ	tsɯkatsɯkɯɾi
ツガ	tsɯga
ツキ	tsɯki
ツキチョウチョウウオ	tsɯkitɕoɯtɕoɯɯo
ツキヌキニンドウ	tsɯkinɯkiniɴdoɯ
ツキノワグマ	tsɯkinoɰᵝagɯma
ツキベラ	tsɯkibeɾa
ツキヨタケ	tsɯkijotake
ツクシガモ	tsɯkɯɕigamo
ツクシシャクナゲ	tsɯkɯɕiɕakɯnage
ツクバネ	tsɯkɯbane
ツクバネアサガオ	tsɯkɯbaneasagao
ツクバネウツギ	tsɯkɯbaneɯtsɯgi
ツクバネガシ	tsɯkɯbanegaɕi
ツクバネソウ	tsɯkɯbanesoɯ
ツクリタケ	tsɯkɯɾitake
ツグミ	tsɯgɯmi
ツケ	tsɯke
ツゲ	tsɯge
ツシマテン	tsɯɕimateɴ
ツシマヤマネコ	tsɯɕimajamaneko
ツジョン	tsɯdʑoɴ
ツタウルシ	tsɯtaɯɾɯɕi
ツチ	tsɯtɕi
ツチガエル	tsɯtɕigaeɾɯ
ツチクジラ	tsɯtɕikɯdʑiɾa
ツチグリ	tsɯtɕigɯɾi
ツチダンゴ	tsɯtɕidaɴgo
ツチバチ	tsɯtɕibatɕi
ツチフキ	tsɯtɕiɸɯki
ツチブタ	tsɯtɕibɯta
ツッコミ	tsɯkːomi
ツッパリ	tsɯpːaɾi
ツツガムシ	tsɯtsɯgamɯɕi
ツツジ	tsɯtsɯdʑi
ツツドリ	tsɯtsɯdoɾi
ツヅラフジ	tsɯzɯɾaɸɯdʑi
ツデー	tsɯdeː
ツナ	tsɯna
ツナ・サンド	tsɯna saɴdo
ツナ・マヨネーズ	tsɯna majoneːzɯ
ツナサンド	tsɯnasaɴdo
ツナマヨネーズ	tsɯnamajoneːzɯ
ツノガエル	tsɯnogaeɾɯ
ツノガレイ	tsɯnogaɾei
ツノクサリヘビ	tsɯnokɯsaɾihebi
ツノゴケ	tsɯnogoke
ツノサケビドリ	tsɯnosakebidoɾi
ツノザメ	tsɯnozame
ツノシマクジラ	tsɯnoɕimakɯdʑiɾa
ツノゼミ	tsɯnozemi
ツノダシ	tsɯnodaɕi
ツノトカゲ	tsɯnotokage
ツノナス	tsɯnonasɯ
ツノハシバミ	tsɯnohaɕibami
ツノハタタテダイ	tsɯnohatatatedai
ツノメドリ	tsɯnomedoɾi
ツノモ	tsɯnomo
ツバイモモ	tsɯbaimomo
ツバキ	tsɯbaki
ツバクロエイ	tsɯbakɯɾoei
ツバクロザメ	tsɯbakɯɾozame
ツバサハゼ	tsɯbasahaze
ツバス	tsɯbasɯ
ツバメ	tsɯbame
ツバメウオ	tsɯbameɯo
