ㄱㅏ	ka̠
ㅅㅓㄹㄴㅏㄹ	sʰʌ̹ɭɭa̠ɭ
ㅅㅓㄹㄷㅏ	sʰʌ̹ɭda̠
ㅅㅓㄹㄷㅗㅎㅏㄷㅏ	sʰʌ̹ɭdo̞ɦa̠da̠
ㅅㅓㄹㄷㅡㄱ	sʰʌ̹ɭdɯk̚
ㅅㅓㄹㄷㅡㄱㄷㅚㄷㅏ	sʰʌ̹ɭdɯk̚t͈ø̞da̠
ㅅㅓㄹㄷㅡㄱㄹㅕㄱ	sʰʌ̹ɭdɯŋɲjʌ̹k̚
ㅅㅓㄹㄷㅡㄱㅅㅣㅋㅣㄷㅏ	sʰʌ̹ɭdɯkɕ͈ikçida̠
ㅅㅓㄹㄷㅡㄱㅎㅏㄷㅏ	sʰʌ̹ɭdɯkʰa̠da̠
ㅅㅓㄹㄸㅜㅇ	sʰʌ̹ɭt͈uŋ
ㅅㅓㄹㄹㅑㅇㄱㅖ	sʰʌ̹ɭʎja̠ŋɡje̞
ㅅㅓㄹㄹㅓㅇ	sʰʌ̹ɭɭʌ̹ŋ
ㅅㅓㄹㄹㅓㅇㅅㅓㄹㄹㅓㅇ	sʰʌ̹ɭɭʌ̹ŋsʰʌ̹ɭɭʌ̹ŋ
ㅅㅓㄹㄹㅓㅇㅌㅏㅇ	sʰʌ̹ɭɭʌ̹ŋtʰa̠ŋ
ㅅㅓㄹㄹㅔㄷㅏ	sʰʌ̹ɭɭe̞da̠
ㅅㅓㄹㄹㅔㅂㅏㄹ	sʰʌ̹ɭɭe̞ba̠ɭ
ㅅㅓㄹㄹㅔㅅㅓㄹㄹㅔ	sʰʌ̹ɭɭe̞sʰʌ̹ɭɭe̞
ㅅㅓㄹㄹㅕㅇ	sʰʌ̹ɭʎjʌ̹ŋ
ㅅㅓㄹㄹㅣㅂ	sʰʌ̹ɭʎip̚
ㅅㅓㄹㄹㅣㅂㄷㅚㄷㅏ	sʰʌ̹ɭʎip̚t͈ø̞da̠
ㅅㅓㄹㄹㅣㅂㅈㅏ	sʰʌ̹ɭʎip̚t͡ɕ͈a̠
ㅅㅓㄹㄹㅣㅂㅎㅏㄷㅏ	sʰʌ̹ɭʎipʰa̠da̠
ㅅㅓㄹㅁㅏ	sʰʌ̹ɭma̠
ㅅㅓㄹㅁㅏㅅㅓㄹㅁㅏ	sʰʌ̹ɭma̠sʰʌ̹ɭma̠
ㅅㅓㄹㅁㅏㅎㅏㄴㅣ	sʰʌ̹ɭma̠ɦa̠ni
ㅅㅓㄹㅁㅏㅈㅇㅣ	sʰʌ̹ɭma̠d͡ʑi
ㅅㅓㄹㅁㅕㅇ	sʰʌ̹ɭmjʌ̹ŋ
ㅅㅓㄹㅁㅕㅇㄷㅚㄷㅏ	sʰʌ̹ɭmjʌ̹ŋdø̞da̠
ㅅㅓㄹㅁㅕㅇㅁㅜㄴ	sʰʌ̹ɭmjʌ̹ŋmun
ㅅㅓㄹㅁㅕㅇㅅㅓ	sʰʌ̹ɭmjʌ̹ŋsʰʌ̹
ㅅㅓㄹㅁㅕㅇㅈㅓㄱ	sʰʌ̹ɭmjʌ̹ŋd͡ʑʌ̹k̚
ㅅㅓㄹㅁㅕㅇㅎㅏㄷㅏ	sʰʌ̹ɭmjʌ̹ŋɦa̠da̠
ㅅㅓㄹㅁㅕㅇㅎㅚ	sʰʌ̹ɭmjʌ̹ŋɦø̞
ㅅㅓㄹㅁㅜㄴ	sʰʌ̹ɭmun
ㅅㅓㄹㅁㅜㄴㅈㅗㅅㅏ	sʰʌ̹ɭmund͡ʑo̞sʰa̠
ㅅㅓㄹㅁㅜㄴㅈㅣ	sʰʌ̹ɭmund͡ʑi
ㅅㅓㄹㅂㅓㅂ	sʰʌ̹ɭbʌ̹p̚
ㅅㅓㄹㅂㅓㅂㅎㅏㄷㅏ	sʰʌ̹ɭbʌ̹pʰa̠da̠
ㅅㅓㄹㅂㅣ	sʰʌ̹ɭbi
ㅅㅓㄹㅂㅣㄷㅚㄷㅏ	sʰʌ̹ɭbidø̞da̠
ㅅㅓㄹㅂㅣㅇㅓㅂ	sʰʌ̹ɭbiʌ̹p̚
ㅅㅓㄹㅂㅣㅎㅏㄷㅏ	sʰʌ̹ɭbiɦa̠da̠
ㅅㅓㄹㅂㅣㅁ	sʰʌ̹ɭbim
ㅅㅓㄹㅅㅏ	sʰʌ̹ɭsʰa̠
ㅅㅓㄹㅅㅏㅂㅕㅇ	sʰʌ̹ɭsʰa̠bjʌ̹ŋ
ㅅㅓㄹㅅㅏㅇㅑㄱ	sʰʌ̹ɭsʰa̠ja̠k̚
ㅅㅓㄹㅅㅏㅎㅏㄷㅏ	sʰʌ̹ɭsʰa̠ɦa̠da̠
ㅅㅓㄹㅅㅏㄴ	sʰʌ̹ɭsʰa̠n
ㅅㅓㄹㅅㅏㄻㄷㅏ	sʰʌ̹ɭsʰa̠mt͈a̠
ㅅㅓㄹㅅㅏㅇㄱㅏㅅㅏㅇ	sʰʌ̹ɭsʰa̠ŋɡa̠sʰa̠ŋ
ㅅㅓㄹㅅㅓㄴ	sʰʌ̹ɭsʰʌ̹n
ㅅㅓㄹㅅㅓㄹ	sʰʌ̹ɭsʰʌ̹ɭ
ㅅㅓㄹㅇㅛㄱ	sʰʌ̹ɾjok̚
ㅅㅓㄹㅇㅛㄱㅈㅓㄴ	sʰʌ̹ɾjok̚t͡ɕ͈ʌ̹n
ㅅㅓㄹㅇㅛㄱㅎㅏㄷㅏ	sʰʌ̹ɾjokʰa̠da̠
ㅅㅓㄹㅇㅜㄴ	sʰʌ̹ɾun
ㅅㅓㄹㅇㅜㅁ	sʰʌ̹ɾum
ㅅㅓㄹㅇㅝㄴ	sʰʌ̹ɾwʌ̹n
ㅅㅓㄹㅇㅢ	sʰʌ̹ɾɰi
ㅅㅓㄹㅇㅢㅂㅓㅂ	sʰʌ̹ɾɰibʌ̹p̚
ㅅㅓㄹㅇㅣㄱㄷㅏ	sʰʌ̹ɭʎik̚t͈a̠
ㅅㅓㄹㅈㅓㅇ	sʰʌ̹ɭd͡ʑʌ̹ŋ
ㅅㅓㄹㅈㅓㅇㄷㅚㄷㅏ	sʰʌ̹ɭd͡ʑʌ̹ŋdø̞da̠
ㅅㅓㄹㅈㅓㅇㅎㅏㄷㅏ	sʰʌ̹ɭd͡ʑʌ̹ŋɦa̠da̠
ㅅㅓㄹㅊㅣ	sʰʌ̹ɭt͡ɕʰi
ㅅㅓㄹㅊㅣㄷㅏ	sʰʌ̹ɭt͡ɕʰida̠
ㅅㅓㄹㅊㅣㄷㅚㄷㅏ	sʰʌ̹ɭt͡ɕʰidø̞da̠
ㅅㅓㄹㅊㅣㅎㅏㄷㅏ	sʰʌ̹ɭt͡ɕʰiɦa̠da̠
ㅅㅓㄹㅋㅓㅇ	sʰʌ̹ɭkʰʌ̹ŋ
ㅅㅓㄹㅌㅏㅇ	sʰʌ̹ɭtʰa̠ŋ
ㅅㅓㄹㅌㅏㅇㄱㅡㄹㅡㅅ	sʰʌ̹ɭtʰa̠ŋɡɯɾɯt̚
ㅅㅓㄹㅌㅏㅇㅁㅜㄹ	sʰʌ̹ɭtʰa̠ŋmuɭ
ㅅㅓㄹㅍㅏ	sʰʌ̹ɭpʰa̠
ㅅㅓㄹㅍㅏㅎㅏㄷㅏ	sʰʌ̹ɭpʰa̠ɦa̠da̠
ㅅㅓㄹㅍㅣㅅ	sʰʌ̹ɭpʰit̚
ㅅㅓㄹㅍㅣㅅㅎㅏㄷㅏ	sʰʌ̹ɭpʰitʰa̠da̠
ㅅㅓㄹㅎㅏㄷㅏ	sʰʌ̹ɾɦa̠da̠
ㅅㅓㄹㅎㅏㄴㅍㅜㅇ	sʰʌ̹ɾɦa̠npʰuŋ
ㅅㅓㄹㅎㅐ	sʰʌ̹ɾɦɛ̝
ㅅㅓㄹㅎㅕㅇ	sʰʌ̹ɾʝjʌ̹ŋ
ㅅㅓㄹㅎㅕㅇㅁㅜㄴㅈㅏ	sʰʌ̹ɾʝjʌ̹ŋmund͡ʑa̠
ㅅㅓㄹㅎㅗㄱ	sʰʌ̹ɾβo̞k̚
ㅅㅓㄹㅎㅘ	sʰʌ̹ɾβwa̠
ㅅㅓㄹㅎㅘㅁㅜㄴㅎㅏㄱ	sʰʌ̹ɾβwa̠munɦa̠k̚
ㅅㅓㄹㅎㅘㅅㅓㄱㄱㅗ	sʰʌ̹ɾβwa̠sʰʌ̹k̚k͈o̞
ㅅㅓㄹㅎㅘㅅㅗㅅㅓㄹ	sʰʌ̹ɾβwa̠sʰo̞sʰʌ̹ɭ
ㅅㅓㄹㅎㅘㅈㅓㄱ	sʰʌ̹ɾβwa̠d͡ʑʌ̹k̚
ㅅㅓㄹㅎㅘㅈㅣ	sʰʌ̹ɾβwa̠d͡ʑi
ㅅㅓㄻ	sʰʌ̹m
ㅅㅓㅁ	sʰʌ̹m
ㅅㅓㅁㄱㅕㅈㅣㄷㅏ	sʰʌ̹mɡjʌ̹d͡ʑida̠
ㅅㅓㅁㄱㅘㅇ	sʰʌ̹mɡwa̠ŋ
ㅅㅓㅁㄱㅘㅇㄷㅡㅇ	sʰʌ̹mɡwa̠ŋdɯŋ
ㅅㅓㅁㄱㅘㅇㅂㅜㄴ	sʰʌ̹mɡwa̠ŋbun
ㅅㅓㅁㄱㅘㅇㅅㅓㅇ	sʰʌ̹mɡwa̠ŋsʰʌ̹ŋ
ㅅㅓㅁㄱㅘㅇㅅㅣㄴㅎㅗ	sʰʌ̹mɡwa̠ŋɕʰinβo̞
ㅅㅓㅁㄱㅘㅇㅈㅓㄴㄱㅜ	sʰʌ̹mɡwa̠ŋd͡ʑʌ̹nɡu
ㅅㅓㅁㄱㅘㅇㅈㅔ	sʰʌ̹mɡwa̠ŋd͡ʑe̞
ㅅㅓㅁㄱㅣㄷㅏ	sʰʌ̹mɡida̠
ㅅㅓㅁㄴㅏㄹㅏ	sʰʌ̹mna̠ɾa̠
ㅅㅓㅁㄷㅗㄹ	sʰʌ̹mdo̞ɭ
ㅅㅓㅁㄸㅡㄱ	sʰʌ̹mt͈ɯk̚
ㅅㅓㅁㄸㅡㄱㅎㅏㄷㅏ	sʰʌ̹mt͈ɯkʰa̠da̠
ㅅㅓㅁㄹㅕ	sʰʌ̹mɲjʌ̹
ㅅㅓㅁㄹㅕㅎㅏㄷㅏ	sʰʌ̹mɲjʌ̹ɦa̠da̠
ㅅㅓㅁㄹㅗㄱㅇㅏㅁ	sʰʌ̹mno̞ɡa̠m
ㅅㅓㅁㅁㅏㅇ	sʰʌ̹mma̠ŋ
ㅅㅓㅁㅁㅕㄹ	sʰʌ̹mmjʌ̹ɭ
ㅅㅓㅁㅁㅕㄹㄷㅚㄷㅏ	sʰʌ̹mmjʌ̹ɭdø̞da̠
ㅅㅓㅁㅁㅕㄹㅈㅓㄴ	sʰʌ̹mmjʌ̹ɭd͡ʑʌ̹n
ㅅㅓㅁㅁㅕㄹㅎㅏㄷㅏ	sʰʌ̹mmjʌ̹ɾɦa̠da̠
ㅅㅓㅁㅁㅗ	sʰʌ̹mmo̞
ㅅㅓㅁㅁㅗㅅㅏㅇㅍㅣ	sʰʌ̹mmo̞sʰa̠ŋpʰi
ㅅㅓㅁㅁㅗㅇㅜㄴㄷㅗㅇ	sʰʌ̹mmo̞undo̞ŋ
ㅅㅓㅁㅁㅗㅊㅜㅇ	sʰʌ̹mmo̞t͡ɕʰuŋ
ㅅㅓㅁㅂㅓㄱ	sʰʌ̹mbʌ̹k̚
ㅅㅓㅁㅅㅐㄱ	sʰʌ̹msʰɛ̝k̚
ㅅㅓㅁㅅㅓㅁ	sʰʌ̹msʰʌ̹m
ㅅㅓㅁㅅㅓㅁㅇㅗㄱㅅㅜ	sʰʌ̹msʰʌ̹mo̞ks͈u
ㅅㅓㅁㅅㅓㅁㅎㅏㄷㅏ	sʰʌ̹msʰʌ̹mɦa̠da̠
ㅅㅓㅁㅅㅔ	sʰʌ̹msʰe̞
ㅅㅓㅁㅅㅔㅅㅓㅇ	sʰʌ̹msʰe̞sʰʌ̹ŋ
ㅅㅓㅁㅅㅔㅎㅏㄷㅏ	sʰʌ̹msʰe̞ɦa̠da̠
ㅅㅓㅁㅇㅏㅇㅕㄴㅅㅓㄱ	sʰʌ̹ma̠jʌ̹nsʰʌ̹k̚
ㅅㅓㅁㅇㅑㄱ	sʰʌ̹mja̠k̚
ㅅㅓㅁㅇㅑㄱㅎㅏㄷㅏ	sʰʌ̹mja̠kʰa̠da̠
ㅅㅓㅁㅇㅠ	sʰʌ̹mju
ㅅㅓㅁㅇㅠㄱㅏㄴㅡㄹㄱㅣ	sʰʌ̹mjuɡa̠nɯɭɡi
ㅅㅓㅁㅇㅠㄱㅗㅇㅇㅓㅂ	sʰʌ̹mjuɡo̞ŋʌ̹p̚
ㅅㅓㅁㅇㅠㄱㅣㄱㅖ	sʰʌ̹mjuɡiɡje̞
ㅅㅓㅁㅇㅠㄷㅏㄴ	sʰʌ̹mjuda̠n
ㅅㅓㅁㅇㅠㅅㅗ	sʰʌ̹mjusʰo̞
ㅅㅓㅁㅇㅠㅅㅣㄱㅁㅜㄹ	sʰʌ̹mjuɕʰiŋmuɭ
ㅅㅓㅁㅇㅠㅈㅏㄱㅁㅜㄹ	sʰʌ̹mjud͡ʑa̠ŋmuɭ
ㅅㅓㅁㅇㅠㅈㅣㄹ	sʰʌ̹mjud͡ʑiɭ
ㅅㅓㅁㅉㅓㄱㅈㅣㄱㅡㄴ	sʰʌ̹mt͡ɕ͈ʌ̹k̚t͡ɕ͈iɡɯn
ㅅㅓㅁㅉㅓㄱㅈㅣㄱㅡㄴㅎㅏㄷㅏ	sʰʌ̹mt͡ɕ͈ʌ̹k̚t͡ɕ͈iɡɯnɦa̠da̠
ㅅㅓㅁㅉㅣㅅ	sʰʌ̹mt͡ɕ͈it̚
ㅅㅓㅁㅉㅣㅅㅎㅏㄷㅏ	sʰʌ̹mt͡ɕ͈itʰa̠da̠
ㅅㅓㅂ	sʰʌ̹p̚
ㅅㅓㅂㄹㅕㅂ	sʰʌ̹mɲjʌ̹p̚
ㅅㅓㅂㄹㅕㅂㅎㅏㄷㅏ	sʰʌ̹mɲjʌ̹pʰa̠da̠
ㅅㅓㅂㄹㅣ	sʰʌ̹mni
ㅅㅓㅂㅅㅐㅇ	sʰʌ̹ps͈ɛ̝ŋ
ㅅㅓㅂㅅㅓㅂ	sʰʌ̹ps͈ʌ̹p̚
ㅅㅓㅂㅅㅓㅂㅎㅏㄷㅏ	sʰʌ̹ps͈ʌ̹pʰa̠da̠
ㅅㅓㅂㅅㅓㅂㅎㅣ	sʰʌ̹ps͈ʌ̹pʰi
ㅅㅓㅂㅆㅣ	sʰʌ̹pɕ͈i
ㅅㅓㅂㅆㅣㄴㅜㄴㄱㅡㅁ	sʰʌ̹pɕ͈inunɡɯm
ㅅㅓㅂㅇㅚ	sʰʌ̹bø̞
ㅅㅓㅂㅇㅚㅎㅏㄷㅏ	sʰʌ̹bø̞ɦa̠da̠
ㅅㅓㅂㅈㅓㅇ	sʰʌ̹p̚t͡ɕ͈ʌ̹ŋ
ㅅㅓㅂㅈㅓㅇㅎㅏㄷㅏ	sʰʌ̹p̚t͡ɕ͈ʌ̹ŋɦa̠da̠
ㅅㅓㅂㅊㅟ	sʰʌ̹p̚t͡ɕʰɥi
ㅅㅓㅂㅊㅟㄷㅚㄷㅏ	sʰʌ̹p̚t͡ɕʰɥidø̞da̠
ㅅㅓㅂㅊㅟㄹㅑㅇ	sʰʌ̹p̚t͡ɕʰɥiɾja̠ŋ
ㅅㅓㅂㅊㅟㅎㅏㄷㅏ	sʰʌ̹p̚t͡ɕʰɥiɦa̠da̠
ㅅㅓㅂㅎㅏㄷㅏ	sʰʌ̹pʰa̠da̠
ㅅㅓㅅㄷㅟㅈㅣㅂㄷㅏ	sʰʌ̹t̚t͈ɥid͡ʑip̚t͈a̠
ㅅㅓㅆㄷㅏ	sʰʌ̹t̚t͈a̠
ㅅㅓㅆㄷㅏㅍㅏㄴ	sʰʌ̹t̚t͈a̠pʰa̠n
ㅅㅓㅇ	sʰʌ̹ŋ
ㅅㅓㅇㄱㅏㄷㅐ	sʰʌ̹ŋɡa̠dɛ̝
ㅅㅓㅇㄱㅏㅅㅣㄷㅏ	sʰʌ̹ŋɡa̠ɕʰida̠
ㅅㅓㅇㄱㅏㅅㅣㄴ	sʰʌ̹ŋɡa̠ɕʰin
ㅅㅓㅇㄱㅏㅅㅣㅁ	sʰʌ̹ŋɡa̠ɕʰim
ㅅㅓㅇㄱㅏㅋㅟ	sʰʌ̹ŋɡa̠kʰɥi
ㅅㅓㅇㄱㅕㄱ	sʰʌ̹ŋɡjʌ̹k̚
ㅅㅓㅇㄱㅕㅇ	sʰʌ̹ŋɡjʌ̹ŋ
ㅅㅓㅇㄱㅗㅇ	sʰʌ̹ŋɡo̞ŋ
ㅅㅓㅇㄱㅗㅇㅈㅓㄱ	sʰʌ̹ŋɡo̞ŋd͡ʑʌ̹k̚
ㅅㅓㅇㄱㅗㅇㅎㅏㄷㅏ	sʰʌ̹ŋɡo̞ŋɦa̠da̠
ㅅㅓㅇㄱㅘ	sʰʌ̹ŋɡwa̠
ㅅㅓㅇㄱㅘㄱ	sʰʌ̹ŋɡwa̠k̚
ㅅㅓㅇㄱㅘㄴㄱㅖ	sʰʌ̹ŋɡwa̠nɡje̞
ㅅㅓㅇㄱㅘㅇ	sʰʌ̹ŋɡwa̠ŋ
ㅅㅓㅇㄱㅛ	sʰʌ̹ŋɡjo
ㅅㅓㅇㄱㅛㅎㅏㄷㅏ	sʰʌ̹ŋɡjoɦa̠da̠
ㅅㅓㅇㄱㅡㄹ	sʰʌ̹ŋɡɯɭ
ㅅㅓㅇㄱㅡㅂ	sʰʌ̹ŋɡɯp̚
ㅅㅓㅇㄱㅣ	sʰʌ̹ŋɡi
ㅅㅓㅇㄲㅏㄹ	sʰʌ̹ŋk͈a̠ɭ
ㅅㅓㅇㄴㅐㄷㅏ	sʰʌ̹ŋnɛ̝da̠
ㅅㅓㅇㄴㅑㅇ	sʰʌ̹ŋɲja̠ŋ
ㅅㅓㅇㄷㅏㄴ	sʰʌ̹ŋda̠n
ㅅㅓㅇㄷㅏㅇ	sʰʌ̹ŋda̠ŋ
ㅅㅓㅇㄷㅐ	sʰʌ̹ŋdɛ̝
ㅅㅓㅇㄷㅓㄱ	sʰʌ̹ŋdʌ̹k̚
ㅅㅓㅇㄷㅗㅇㄱㅕㄱㅅㅓ	sʰʌ̹ŋdo̞ŋɡjʌ̹ks͈ʌ̹
ㅅㅓㅇㄹㅣㅂㄷㅚㄷㅏ	sʰʌ̹ŋnip̚t͈ø̞da̠
ㅅㅓㅇㄹㅣㅂㅎㅏㄷㅏ	sʰʌ̹ŋnipʰa̠da̠
ㅅㅓㅇㅁㅕㅇ	sʰʌ̹ŋmjʌ̹ŋ
ㅅㅓㅇㅁㅛ	sʰʌ̹ŋmjo
ㅅㅓㅇㅂㅕㄹ	sʰʌ̹ŋbjʌ̹ɭ
ㅅㅓㅇㅂㅜㄹㅡㄷㅏ	sʰʌ̹ŋbuɾɯda̠
ㅅㅓㅇㅂㅜㄴ ㅂㅜㅅㅏ	sʰʌ̹ŋbun pusʰa̠
ㅅㅓㅇㅂㅜㄴ ㅂㅜㅅㅏ	sʰʌ̹ŋbun pusʰa̠
ㅅㅓㅇㅅㅏ	sʰʌ̹ŋsʰa̠
ㅅㅓㅇㅅㅏㅇ ㅂㅜㅅㅏ	sʰʌ̹ŋsʰa̠ŋ pusʰa̠
ㅅㅓㅇㅅㅏㅇ ㅂㅜㅅㅏ	sʰʌ̹ŋsʰa̠ŋ pusʰa̠
ㅅㅓㅇㅅㅓㅇ	sʰʌ̹ŋsʰʌ̹ŋ
ㅅㅓㅇㅅㅓㅇㅇㅣ	sʰʌ̹ŋsʰʌ̹ŋi
ㅅㅓㅇㅅㅜㄱ	sʰʌ̹ŋsʰuk̚
ㅅㅓㅇㅅㅜㄱㅎㅏㄷㅏ	sʰʌ̹ŋsʰukʰa̠da̠
ㅅㅓㅇㅅㅣㄹ	sʰʌ̹ŋɕʰiɭ
ㅅㅓㅇㅅㅣㄹㅎㅏㄷㅏ	sʰʌ̹ŋɕʰiɾɦa̠da̠
ㅅㅓㅇㅅㅣㄹㅎㅣ	sʰʌ̹ŋɕʰiɾʝi
ㅅㅓㅇㅅㅣㅁ	sʰʌ̹ŋɕʰim
ㅅㅓㅇㅅㅣㅍㄷㅏ	sʰʌ̹ŋɕʰip̚t͈a̠
ㅅㅓㅇㅇㅔ	sʰʌ̹ŋe̞
ㅅㅓㅇㅇㅜ	sʰʌ̹ŋu
ㅅㅓㅇㅇㅜㄴ	sʰʌ̹ŋun
ㅅㅓㅇㅇㅝㄴ	sʰʌ̹ŋwʌ̹n
ㅅㅓㅇㅇㅡㅂ	sʰʌ̹ŋɯp̚
ㅅㅓㅇㅇㅣㄴ	sʰʌ̹ŋin
ㅅㅓㅇㅇㅣㄹ	sʰʌ̹ŋiɭ
ㅅㅓㅇㅇㅣㄹㅎㅏㄷㅏ	sʰʌ̹ŋiɾɦa̠da̠
ㅅㅓㅇㅈㅏㅇ	sʰʌ̹ŋd͡ʑa̠ŋ
ㅅㅓㅇㅈㅏㅇㅈㅏㅇㅇㅐㅇㅣㄴ	sʰʌ̹ŋd͡ʑa̠ŋd͡ʑa̠ŋɛ̝in
ㅅㅓㅇㅈㅏㅇㅎㅏㄷㅏ	sʰʌ̹ŋd͡ʑa̠ŋɦa̠da̠
ㅅㅓㅇㅈㅐㄱㅣ	sʰʌ̹ŋd͡ʑɛ̝ɡi
ㅅㅓㅇㅈㅓㄱ	sʰʌ̹ŋd͡ʑʌ̹k̚
ㅅㅓㅇㅈㅓㄴㅎㅘㄴ	sʰʌ̹ŋd͡ʑʌ̹nβwa̠n
ㅅㅓㅇㅈㅓㄴㅎㅘㄴㅈㅏ	sʰʌ̹ŋd͡ʑʌ̹nβwa̠nd͡ʑa̠
ㅅㅓㅇㅈㅓㄴㅎㅘㄴㅈㅡㅇ	sʰʌ̹ŋd͡ʑʌ̹nβwa̠nd͡ʑɯŋ
ㅅㅓㅇㅈㅔ	sʰʌ̹ŋd͡ʑe̞
ㅅㅓㅇㅈㅣㄹ	sʰʌ̹ŋd͡ʑiɭ
ㅅㅓㅇㅊㅏㅂㅕㄹ	sʰʌ̹ŋt͡ɕʰa̠bjʌ̹ɭ
ㅅㅓㅇㅊㅏㄴ	sʰʌ̹ŋt͡ɕʰa̠n
ㅅㅓㅇㅊㅏㄴㅅㅣㄱ	sʰʌ̹ŋt͡ɕʰa̠nɕʰik̚
ㅅㅓㅇㅊㅟ	sʰʌ̹ŋt͡ɕʰɥi
ㅅㅓㅇㅊㅟㅎㅏㄷㅏ	sʰʌ̹ŋt͡ɕʰɥiɦa̠da̠
ㅅㅓㅇㅊㅡㅇㄱㅝㄴ	sʰʌ̹ŋt͡ɕʰɯŋɡwʌ̹n
ㅅㅓㅇㅊㅡㅇㄱㅝㄴ ㄱㅖㅁㅕㄴ	sʰʌ̹ŋt͡ɕʰɯŋɡwʌ̹n kje̞mjʌ̹n
ㅅㅓㅇㅊㅡㅇㄱㅝㄴ ㅇㅗㅈㅗㄴ	sʰʌ̹ŋt͡ɕʰɯŋɡwʌ̹n o̞d͡ʑo̞n
ㅅㅓㅇㅊㅡㅇㅎㅘㅅㅏㄴ	sʰʌ̹ŋt͡ɕʰɯŋβwa̠sʰa̠n
ㅅㅓㅇㅋㅡㅁ	sʰʌ̹ŋkxɯm
ㅅㅓㅇㅌㅏㄴㅇㅣㄹ	sʰʌ̹ŋtʰa̠niɭ
ㅅㅓㅇㅌㅏㄴㅈㅓㄹ	ˈsʰɘːŋtʰa̠nd͡ʑʌ̹ɭ
ㅅㅓㅇㅍㅗㄱㄹㅕㄱ	sʰʌ̹ŋpʰo̞ŋɲjʌ̹k̚
ㅅㅓㅇㅎㅏㄷㅏ	sʰʌ̹ŋɦa̠da̠
ㅅㅓㅇㅎㅏㅁ	sʰʌ̹ŋɦa̠m
ㅅㅔ	sʰe̞
ㅅㅔㄱㅏ	sʰe̞ɡa̠
ㅅㅔㄱㅖ	sʰe̞ɡje̞
ㅅㅔㄱㅖㄱㅗㅇㅇㅕㄱㅇㅖㅂㅗㅅㅣㅅㅡㅌㅔㅁ	sʰe̞ɡje̞ɡo̞ŋjʌ̹ɡje̞bo̞ɕʰisʰɯtʰe̞m
ㅅㅔㄱㅖㄱㅘㄴ	sʰe̞ɡje̞ɡwa̠n
ㅅㅔㄱㅖㄱㅣㅅㅏㅇㄱㅏㅁㅅㅣ	sʰe̞ɡje̞ɡisʰa̠ŋɡa̠mɕʰi
ㅅㅔㄱㅖㄱㅣㅅㅏㅇㄱㅣㄱㅜ	sʰe̞ɡje̞ɡisʰa̠ŋɡiɡu
ㅅㅔㄱㅖㅈㅓㄱ	sʰe̞ɡje̞d͡ʑʌ̹k̚
ㅅㅔㄱㅖㅈㅣㄷㅗ	sʰe̞ɡje̞d͡ʑido̞
ㅅㅔㄱㅖㅎㅕㅂㅈㅓㅇㅅㅣ	sʰe̞ɡje̞ʝjʌ̹p̚t͡ɕ͈ʌ̹ŋɕʰi
ㅅㅔㄱㅠㄴ	sʰe̞ɡjun
ㅅㅔㄱㅠㄴㅎㅏㄱ	sʰe̞ɡjunɦa̠k̚
ㅅㅔㄱㅡㅁ	sʰe̞ɡɯm
ㅅㅔㄱㅣ	sʰe̞ɡi
ㅅㅔㄱㅣㅂㅏㄹㅜ	sʰe̞ɡiba̠ɾu
ㅅㅔㄴㅔㄱㅏㄹ	sʰe̞ne̞ɡa̠ɭ
ㅅㅔㄷㅏ	sʰe̞ːda̠
ㅅㅔㄷㅐ	sʰe̞dɛ̝
ㅅㅔㄷㅐㅈㅜ	sʰe̞dɛ̝d͡ʑu
ㅅㅔㄹㅔㄴㅏㄷㅔ	sʰe̞ɾe̞na̠de̞
ㅅㅔㄹㅕㄱ	sʰe̞ɾjʌ̹k̚
ㅅㅔㄹㅕㄴㄷㅚㄷㅏ	sʰe̞ɾjʌ̹ndø̞da̠
ㅅㅔㄹㅖ	sʰe̞ɾje̞
ㅅㅔㄹㅗ	sʰe̞ɾo̞
ㅅㅔㄹㅠㅁ	sʰe̞ɾjum
ㅅㅔㄹㅡㄱㅔㅇㅣ	sʰe̞ɾɯɡe̞i
ㅅㅔㄹㅡㅂㅗㅋㅡㄹㅗㅇㅏㅌㅡㅇㅓ	sʰe̞ɾɯbo̞kxɯɾo̞a̠tʰɯʌ̹
ㅅㅔㄹㅡㅂㅗㅋㅡㄹㅗㅇㅏㅌㅣㅇㅏㅇㅓ	sʰe̞ɾɯbo̞kxɯɾo̞a̠tʰia̠ʌ̹
ㅅㅔㄹㅡㅂㅣㅇㅏ	sʰe̞ɾɯbia̠
ㅅㅔㄹㅡㅂㅣㅇㅏ ㅁㅗㄴㅌㅔㄴㅔㄱㅡㄹㅗ	sʰe̞ɾɯbia̠ mo̞ntʰe̞ne̞ɡɯɾo̞
ㅅㅔㄹㅡㅂㅣㅇㅏㅇㅓ	sʰe̞ɾɯbia̠ʌ̹
ㅅㅔㅁㅗ	sʰe̞mo̞
ㅅㅔㅁㅜㅅㅏ	sʰe̞musʰa̠
ㅅㅔㅁㅣㄴㅏ	sʰe̞mina̠
ㅅㅔㅁㅣㄹ	sʰe̞miɭ
ㅅㅔㅂㅓㄹㅅㅣㄱ	sʰe̞bʌ̹ɭɕʰik̚
ㅅㅔㅂㅣㅇㅑ	sʰe̞bija̠
ㅅㅔㅅㅏㅇ	sʰe̞sʰa̠ŋ
ㅅㅔㅅㅏㅇㅇㅔ	sʰe̞sʰa̠ŋe̞
